,Rank,CCA3,Country,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage,Rate
54,45,MYS,Malaysia,Kuala Lumpur,Asia,33938221.0,33199993.0,31068833.0,,,17517054.0,13215707.0,10306508.0,330803.0,102.5934,1.0109,0.43,10
55,174,MDV,Maldives,Malé,Asia,523787.0,514438.0,435582.0,,,224957.0,164887.0,123243.0,300.0,1745.9567,1.0045,0.01,10
56,59,MLI,Mali,Bamako,Africa,22593590.0,21224040.0,18112907.0,15529181.0,11239101.0,8945026.0,7372581.0,6153587.0,1240192.0,18.2178,1.0314,0.28,5
57,126,MRT,Mauritania,Nouakchott,Africa,4736139.0,4498604.0,3946220.0,3419461.0,2695003.0,2006027.0,1506694.0,1122198.0,1030700.0,4.5951,1.0263,0.06,5
58,157,MUS,Mauritius,Port Louis,Africa,1299469.0,1297828.0,1293153.0,1283330.0,1215930.0,1090290.0,954865.0,830115.0,2040.0,636.9946,1.0004,0.02,5
59,182,MYT,Mayotte,Mamoudzou,Africa,326101.0,305587.0,249545.0,211786.0,159215.0,92659.0,52233.0,35383.0,374.0,871.9278,1.0319,0.0,5
60,134,MNG,Mongolia,Ulaanbaatar,Asia,3398366.0,3294335.0,2964749.0,2702520.0,2450979.0,2161433.0,1697780.0,1293880.0,1564110.0,2.1727,1.0151,0.04,10
61,40,MAR,Morocco,Rabat,Africa,37457971.0,36688772.0,34680458.0,32464865.0,28554415.0,24570814.0,19678444.0,15274351.0,446550.0,83.883,1.0103,0.47,5
62,48,MOZ,Mozambique,Maputo,Africa,32969517.0,31178239.0,,,17768505.0,13303459.0,11413587.0,8411676.0,801590.0,41.1302,1.0278,0.41,5
63,26,MMR,Myanmar,Nay Pyi Taw,Asia,54179306.0,53423198.0,51483949.0,49390988.0,45538332.0,40099553.0,33465781.0,27284112.0,676578.0,80.0784,1.0071,0.68,10
64,145,NAM,Namibia,Windhoek,Africa,2567012.0,2489098.0,2282704.0,2099271.0,1819141.0,1369011.0,975994.0,754467.0,825615.0,3.1092,1.0146,0.03,5
65,49,NPL,Nepal,Kathmandu,Asia,30547580.0,29348627.0,27610325.0,27161567.0,24559500.0,19616530.0,15600442.0,12501285.0,147181.0,207.5511,1.0171,0.38,10
66,54,NER,Niger,Niamey,Africa,26207977.0,24333639.0,20128124.0,16647543.0,11622665.0,8370647.0,6173177.0,4669708.0,1267000.0,20.6851,1.0378,0.33,5
67,6,NGA,Nigeria,Abuja,Africa,218541212.0,208327405.0,183995785.0,160952853.0,122851984.0,95214257.0,72951439.0,55569264.0,923768.0,236.5759,1.0241,2.74,5
68,56,PRK,North Korea,Pyongyang,Asia,26069416.0,25867467.0,25258015.0,24686435.0,23367059.0,20799523.0,17973650.0,14996879.0,120538.0,216.2755,1.0038,0.33,10
